2020-01-19 21:06:04	Start
2020-01-19 21:06:08	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
2.283	0.002394	1.431733	7.096414	7.239403	-0.174	1.028	9.020	9.094
2.303	0.162806	1.951274	6.849811	7.124176	-0.018	1.325	8.044	8.177
2.334	0.366313	1.980005	6.722919	7.017994	0.148	1.639	7.230	7.429
2.344	0.735020	2.724602	7.115568	7.654738	0.317	2.022	6.946	7.259
2.369	0.871489	2.233790	8.657434	8.983344	0.534	2.222	7.336	7.695
2.383	0.318429	1.810017	10.196905	10.361198	0.573	2.187	8.173	8.504
2.403	0.239420	1.606509	10.977415	11.096929	0.541	2.094	9.237	9.524
2.423	0.076614	1.656788	11.037270	11.161189	0.376	1.827	10.217	10.401
2.443	0.134075	1.625663	11.130644	11.249533	0.192	1.675	10.836	10.967
2.463	0.325611	1.769315	11.865664	12.001270	0.194	1.665	11.253	11.377
2.490	-0.045490	2.466028	11.748347	12.004459	0.123	1.879	11.445	11.604
2.503	0.112527	2.322376	11.051635	11.293570	0.132	2.046	11.449	11.637
2.523	0.347159	1.410185	10.884041	10.980505	0.185	1.992	11.387	11.570
2.544	0.732626	0.768539	11.654974	11.703240	0.287	1.742	11.335	11.495
2.566	1.010353	0.059855	12.610260	12.650813	0.551	1.140	11.550	11.657
2.584	0.976834	0.143652	11.860875	11.901899	0.767	0.596	11.753	11.809
2.604	0.897826	0.957681	9.303867	9.396020	0.904	0.482	11.357	11.413
2.625	0.873884	1.927332	6.442797	6.781439	0.940	0.772	10.054	10.183
2.645	0.766145	2.257732	5.013458	5.551495	0.879	1.322	8.155	8.408
2.669	0.375890	2.078167	5.786786	6.160110	0.728	1.805	6.637	6.972
2.685	0.069432	1.340753	7.730877	7.846586	0.521	1.901	6.243	6.585
2.705	0.237026	0.660800	9.677363	9.702793	0.362	1.584	7.052	7.315
2.726	0.775721	0.258574	10.963050	10.993501	0.365	1.085	8.540	8.676
2.759	0.974440	0.332794	10.788273	10.837302	0.514	0.648	9.790	9.845
2.766	0.320823	0.991199	9.742006	9.797555	0.577	0.561	10.293	10.333
2.787	0.208296	1.577779	8.204929	8.357849	0.570	0.790	9.925	9.997
