2020-01-19 14:57:02	Start
2020-01-19 14:57:14	End


Time (s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
3.597	6.294356	-7.414843	2.705448	10.095458	6.702	-6.604	2.597	9.820
3.616	4.393360	-8.269572	2.032677	9.582234	5.886	-7.386	2.483	9.827
3.637	5.908890	-8.106767	1.862689	10.203149	5.942	-7.700	2.371	10.079
3.656	8.058883	-6.789956	2.169147	10.758917	6.164	-7.645	2.192	10.160
3.676	10.381259	-5.324705	2.066196	11.848721	7.186	-7.123	2.033	10.598
3.697	5.564125	-7.556100	2.025495	9.599832	7.478	-6.944	2.031	10.603
3.720	3.406949	-8.312668	1.572991	9.120419	6.853	-6.996	1.958	10.332
3.737	2.468422	-8.568848	1.005565	8.973819	5.455	-7.441	1.668	9.886
3.757	4.414908	-8.298303	1.618480	9.537962	3.964	-8.184	1.556	9.308
3.779	6.416461	-8.355764	1.537078	10.646707	4.177	-8.384	1.434	9.570
3.806	6.505046	-9.028535	1.005565	11.173237	4.951	-8.563	1.292	10.083
3.818	4.211401	-8.997410	1.125275	9.997776	5.387	-8.670	1.322	10.339
3.838	2.410961	-8.494628	0.244209	8.833520	4.886	-8.719	0.978	10.163
3.862	1.843535	-7.747637	0.766145	8.000717	3.743	-8.567	0.785	9.501
3.877	2.217031	-6.842628	0.517148	7.211396	2.671	-8.021	0.663	8.511
3.898	1.405396	-6.959944	1.273715	7.213758	1.969	-7.511	0.700	7.815
3.917	1.496376	-7.582437	1.429338	7.859739	1.741	-7.283	0.997	7.571
3.937	3.368642	-6.983886	0.919373	7.808179	2.122	-7.092	1.035	7.523
3.958	3.292027	-7.556100	0.593762	8.263453	2.391	-7.271	1.054	7.786
3.977	2.923320	-7.620744	0.816423	8.202932	2.770	-7.436	0.940	8.034
3.997	3.201048	-7.371747	0.823605	8.078842	3.196	-7.383	0.788	8.088
4.028	3.344700	-8.231265	0.821211	8.922731	3.190	-7.695	0.764	8.367
4.039	3.488352	-8.899248	0.921768	9.602858	3.239	-8.031	0.846	8.702
4.058	3.667917	-9.306262	-0.062249	10.003200	3.426	-8.452	0.626	9.152
4.078	3.763685	-9.516952	0.636858	10.253939	3.566	-8.988	0.579	9.696
4.097	2.985569	-9.595961	1.584962	10.173897	3.476	-9.330	0.770	10.008
4.118	2.442086	-9.653421	1.668759	10.096389	3.215	-9.518	0.957	10.132
4.138	3.031059	-9.698911	1.175553	10.229278	3.056	-9.616	1.267	10.188
4.157	3.600879	-9.610326	0.090980	10.263185	3.015	-9.640	1.130	10.191
4.178	3.409343	-9.818622	0.464475	10.404071	3.121	-9.695	0.850	10.248
4.197	3.287239	-9.469068	1.089362	10.082454	3.332	-9.649	0.705	10.245
4.217	2.731784	-9.081207	1.364695	9.580885	3.257	-9.495	0.752	10.083
4.237	3.203442	-8.619126	0.627281	9.216553	3.158	-9.247	0.886	9.821
4.258	3.014300	-9.260772	0.560243	9.755090	3.059	-9.108	0.910	9.659
4.282	2.588132	-9.567230	0.584185	9.928322	2.884	-9.132	0.784	9.620
4.298	1.865083	-9.928755	0.682347	10.125429	2.668	-9.344	0.614	9.756
